h2s,tz=0,v=1.6
time,h2s,so2,T101_Mode
1688204580,NaN,4.570e-01,2
1688204640,NaN,4.740e-01,2
1688204700,NaN,5.070e-01,2
1688204760,NaN,5.110e-01,2
1688204820,NaN,5.540e-01,2
1688204880,NaN,NaN,2
1688204940,NaN,NaN,1
1688205000,NaN,NaN,1
1688205060,NaN,NaN,1
1688205120,NaN,NaN,1
1688205180,9.620e-01,NaN,1
1688205240,9.510e-01,NaN,1
1688205300,9.580e-01,NaN,1
1688205360,9.830e-01,NaN,1
1688205420,1.003e+00,NaN,1
1688205480,NaN,NaN,1
1688205540,NaN,NaN,2
1688205600,NaN,NaN,2
1688205660,NaN,NaN,2
1688205720,NaN,NaN,2
1688205780,NaN,5.360e-01,2
1688205840,NaN,5.380e-01,2
1688205900,NaN,5.080e-01,2
1688205960,NaN,5.200e-01,2
1688206020,NaN,5.470e-01,2
1688206080,NaN,NaN,2
1688206140,NaN,NaN,1
1688206200,NaN,NaN,1
1688206260,NaN,NaN,1
1688206320,NaN,NaN,1
1688206380,1.089e+00,NaN,1
1688206440,1.137e+00,NaN,1
1688206500,1.246e+00,NaN,1
1688206560,1.351e+00,NaN,1
1688206620,1.444e+00,NaN,1
1688206680,NaN,NaN,1
1688206740,NaN,NaN,2
1688206800,NaN,NaN,2
1688206860,NaN,NaN,2
1688206920,NaN,NaN,2
1688206980,NaN,6.150e-01,2
1688207040,NaN,6.770e-01,2
1688207100,NaN,7.080e-01,2
1688207160,NaN,7.180e-01,2
1688207220,NaN,6.850e-01,2
1688207280,NaN,NaN,2
1688207340,NaN,NaN,1
1688207400,NaN,NaN,1
1688207460,NaN,NaN,1
1688207520,NaN,NaN,1
1688207580,1.635e+00,NaN,1
1688207640,1.646e+00,NaN,1
1688207700,1.689e+00,NaN,1
1688207760,1.732e+00,NaN,1
1688207820,1.741e+00,NaN,1
1688207880,NaN,NaN,1
1688207940,NaN,NaN,2
1688208000,NaN,NaN,2
1688208060,NaN,NaN,2
1688208120,NaN,NaN,2
1688208180,NaN,6.030e-01,2
1688208240,NaN,6.470e-01,2
1688208300,NaN,6.910e-01,2
1688208360,NaN,7.190e-01,2
1688208420,NaN,7.390e-01,2
1688208480,NaN,NaN,2
1688208540,NaN,NaN,1
1688208600,NaN,NaN,1
1688208660,NaN,NaN,1
1688208720,NaN,NaN,1
1688208780,2.005e+00,NaN,1
1688208840,2.142e+00,NaN,1
1688208900,2.278e+00,NaN,1
1688208960,2.409e+00,NaN,1
1688209020,2.517e+00,NaN,1
1688209080,NaN,NaN,1
1688209140,NaN,NaN,2
1688209200,NaN,NaN,2
1688209260,NaN,NaN,2
1688209320,NaN,NaN,2
1688209380,NaN,7.670e-01,2
1688209440,NaN,7.880e-01,2
1688209500,NaN,7.980e-01,2
1688209560,NaN,8.030e-01,2
1688209620,NaN,8.140e-01,2
1688209680,NaN,8.280e-01,2
1688209740,NaN,NaN,2
1688209800,NaN,NaN,1
1688209860,NaN,NaN,1
1688209920,NaN,NaN,1
1688209980,3.183e+00,NaN,1
1688210040,3.533e+00,NaN,1
1688210100,3.879e+00,NaN,1
1688210160,4.177e+00,NaN,1
1688210220,4.229e+00,NaN,1
1688210280,NaN,NaN,1
1688210340,NaN,NaN,2
1688210400,NaN,NaN,2
1688210460,NaN,NaN,2
1688210520,NaN,NaN,2
1688210580,NaN,8.040e-01,2
1688210640,NaN,8.090e-01,2
1688210700,NaN,8.080e-01,2
1688210760,NaN,7.880e-01,2
1688210820,NaN,8.200e-01,2
1688210880,NaN,8.410e-01,2
1688210940,NaN,NaN,2
1688211000,NaN,NaN,1
1688211060,NaN,NaN,1
1688211120,NaN,NaN,1
1688211180,4.171e+00,NaN,1
1688211240,4.114e+00,NaN,1
1688211300,4.088e+00,NaN,1
1688211360,4.063e+00,NaN,1
1688211420,4.047e+00,NaN,1
1688211480,NaN,NaN,1
1688211540,NaN,NaN,2
1688211600,NaN,NaN,2
1688211660,NaN,NaN,2
1688211720,NaN,NaN,2
1688211780,NaN,7.550e-01,2
1688211840,NaN,7.080e-01,2
1688211900,NaN,6.800e-01,2
1688211960,NaN,6.250e-01,2
1688212020,NaN,6.260e-01,2
1688212080,NaN,6.740e-01,2
1688212140,NaN,NaN,2
1688212200,NaN,NaN,1
1688212260,NaN,NaN,1
1688212320,NaN,NaN,1
1688212380,3.972e+00,NaN,1
1688212440,3.931e+00,NaN,1
1688212500,3.895e+00,NaN,1
1688212560,3.882e+00,NaN,1
1688212620,3.836e+00,NaN,1
1688212680,3.815e+00,NaN,1
1688212740,NaN,NaN,1
1688212800,NaN,NaN,2
1688212860,NaN,NaN,2
1688212920,NaN,NaN,2
1688212980,NaN,7.060e-01,2
1688213040,NaN,7.330e-01,2
1688213100,NaN,7.270e-01,2
1688213160,NaN,7.170e-01,2
1688213220,NaN,7.050e-01,2
1688213280,NaN,6.880e-01,2
1688213340,NaN,NaN,2
1688213400,NaN,NaN,1
1688213460,NaN,NaN,1
1688213520,NaN,NaN,1
1688213580,3.735e+00,NaN,1
1688213640,3.659e+00,NaN,1
1688213700,3.590e+00,NaN,1
1688213760,3.544e+00,NaN,1
1688213820,3.523e+00,NaN,1
1688213880,3.520e+00,NaN,1
1688213940,NaN,NaN,1
1688214000,NaN,NaN,2
1688214060,NaN,NaN,2
1688214120,NaN,NaN,2
1688214180,NaN,6.480e-01,2
1688214240,NaN,6.400e-01,2
1688214300,NaN,6.560e-01,2
1688214360,NaN,7.020e-01,2
1688214420,NaN,7.090e-01,2
1688214480,NaN,7.090e-01,2
1688214540,NaN,NaN,2
1688214600,NaN,NaN,1
1688214660,NaN,NaN,1
1688214720,NaN,NaN,1
1688214780,3.494e+00,NaN,1
1688214840,3.464e+00,NaN,1
1688214900,3.486e+00,NaN,1
1688214960,3.522e+00,NaN,1
1688215020,3.596e+00,NaN,1
1688215080,3.788e+00,NaN,1
1688215140,NaN,NaN,1
1688215200,NaN,NaN,2
1688215260,NaN,NaN,2
1688215320,NaN,NaN,2
1688215380,NaN,8.070e-01,2
1688215440,NaN,8.420e-01,2
1688215500,NaN,9.200e-01,2
1688215560,NaN,1.000e+00,2
1688215620,NaN,1.029e+00,2
1688215680,NaN,1.051e+00,2
1688215740,NaN,NaN,2
1688215800,NaN,NaN,1
1688215860,NaN,NaN,1
1688215920,NaN,NaN,1
1688215980,4.466e+00,NaN,1
1688216040,4.728e+00,NaN,1
1688216100,4.797e+00,NaN,1
1688216160,4.597e+00,NaN,1
1688216220,4.474e+00,NaN,1
1688216280,4.532e+00,NaN,1
1688216340,NaN,NaN,1
1688216400,NaN,NaN,2
1688216460,NaN,NaN,2
1688216520,NaN,NaN,2
1688216580,NaN,1.084e+00,2
1688216640,NaN,1.115e+00,2
1688216700,NaN,1.124e+00,2
1688216760,NaN,1.151e+00,2
1688216820,NaN,1.145e+00,2
1688216880,NaN,1.121e+00,2
1688216940,NaN,NaN,2
1688217000,NaN,NaN,1
1688217060,NaN,NaN,1
1688217120,NaN,NaN,1
1688217180,4.459e+00,NaN,1
1688217240,4.429e+00,NaN,1
1688217300,4.307e+00,NaN,1
1688217360,3.969e+00,NaN,1
1688217420,3.829e+00,NaN,1
1688217480,3.776e+00,NaN,1
1688217540,NaN,NaN,1
1688217600,NaN,NaN,2
1688217660,NaN,NaN,2
1688217720,NaN,NaN,2
1688217780,NaN,1.028e+00,2
1688217840,NaN,9.570e-01,2
1688217900,NaN,9.250e-01,2
1688217960,NaN,8.850e-01,2
1688218020,NaN,8.630e-01,2
1688218080,NaN,8.840e-01,2
1688218140,NaN,NaN,2
1688218200,NaN,NaN,1
1688218260,NaN,NaN,1
1688218320,NaN,NaN,1
1688218380,3.502e+00,NaN,1
1688218440,3.367e+00,NaN,1
1688218500,3.200e+00,NaN,1
1688218560,3.053e+00,NaN,1
1688218620,3.038e+00,NaN,1
1688218680,3.062e+00,NaN,1
1688218740,NaN,NaN,1
1688218800,NaN,NaN,2
1688218860,NaN,NaN,2
1688218920,NaN,NaN,2
1688218980,NaN,8.480e-01,2
1688219040,NaN,8.420e-01,2
1688219100,NaN,8.160e-01,2
1688219160,NaN,7.940e-01,2
1688219220,NaN,7.980e-01,2
1688219280,NaN,8.260e-01,2
1688219340,NaN,NaN,2
1688219400,NaN,NaN,1
1688219460,NaN,NaN,1
